Ge, Sb, Se, Density, Youngs modulus (Gpa), Shear modulus (Gpa), Expected Poisson's ratio, Glass transition Temperature
7.5,10,82.5,4.61,19.043,5.83,0.633190395,107.3
10,10,80,4.61,20.129,5.868,0.715149966,123.5
12.5,10,77.5,4.61,20.546,6.663,0.541797989,139
15,10,75,4.62,21.29,6.771,0.572145916,160.1
17.5,10,72.5,4.61,22.748,7.348,0.547904192,190.8
20,10,70,4.6,22.565,7.283,0.549155568,211.4
22.5,10,67.5,4.59,23.224,7.277,0.595712519,259.5
25,10,65,4.54,22.713,7.378,0.539238276,316.6
27.5,10,62.5,4.57,24.968,9.425,0.324562334,293.8
30,10,60,4.6,26.257,9.873,0.329737668,292.1
32.5,10,57.5,4.65,29.035,11.25,0.290444444,293.3
5,15,80,4.76,20.333,5.774,0.76073779,103.5
7.5,15,77.5,4.76,21.284,6.364,0.67221873,116.6
10,15,75,4.76,21.885,6.609,0.655696777,138.3
12.5,15,72.5,4.76,22.857,7.122,0.604675653,162.2
15,15,70,4.76,24.412,7.669,0.591602556,184.4
17.5,15,67.5,4.74,24.362,7.528,0.618092455,213.3
20,15,65,4.71,24.406,7.676,0.589760292,260
22.5,15,62.5,4.71,25.128,7.894,0.591588548,268
25,15,60,4.75,26.806,9.276,0.4449116,270.1
5,20,75,4.89,22.598,6.828,0.654803749,133.4
7.5,20,72.5,4.89,23.237,7.181,0.617950146,138.7
10,20,70,4.91,24.52,7.604,0.612309311,162.1
12.5,20,67.5,4.87,25.059,7.762,0.614210255,188.6
15,20,65,4.87,24.976,7.716,0.618455158,228.8
17.5,20,62.5,4.86,26.452,8.059,0.641146544,259
20,20,60,4.85,26.881,8.586,0.565397158,250.8
22.5,20,57.5,4.92,28.061,9.757,0.437993236,257.7
25,20,55,4.99,28.547,10.3,0.385776699,260.5
18.75,17.5,63.75,4.76,24.849,8.048,0.543799702,275.4
15,25,60,4.99,27.125,8.588,0.579238472,236.9
